FirstReading,Psalm,SecondReading,Acclamation,Gospel,Date,Day
Numbers 6:22-27,"Psalms 67:2-3, 5, 6, 8.",Galatians 4:4-7,Hebrews 1:1-2,Luke 2:16-21,2018-01-01,The Octave Day of Christmas
1 John 2:22-28,"Psalms 98:1, 2-3, 3-4",,Hebrews 1:1-2,John 1:19-28,2018-01-02,"Memorial of Saints Basil the Great and Gregory Nazianzen, BishoPsalms and Doctors of the Church"
1 John 2:29--3:6,"Psalms 98:1, 3-4, 5-6",,"John 1:14, 12",John 1:29-34,2018-01-03,3-Jan-18
1 John 3:7-10,"Psalms 98:1, 7-8, 9",,Hebrews 1:1-2,John 1:35-42,2018-01-04,"Memorial of Saint Elizabeth Ann Seton, Religious"
1 John 3:11-21,"Psalms 100:1-2, 3, 4, 5",,,John 1:43-51,2018-01-05,"Memorial of Saint John Neumann, Bishop"
1 John 5:5-13,"Psalms 147:12-13, 14-15, 19-20",,Mark 9:6,Mark 1:7-11,2018-01-06,Christmas Weekday
"Ephesians 3:2-3, 5-6"," Psalms 72:1-2, 7-8, 10-11, 12-13",,Matthew 2:2,Matthew 2:1-12,2018-01-07,The Epiphany of the Lord
"Isaiah 42:1-4, 6-7","Psalms 29:1-2, 3-4, 3, 9-10",,John 1:29,Mark 1:7-11,2018-01-08,The Baptism of the Lord
1 Samuel 1:9-20,"1 Samuel 2:1, 4-5, 6-7, 8",,1 Thessalonians 2:13,Mark 1:21-28,2018-01-09,Lectionary: 306
"1 Samuel 3:1-10, 19-20","Psalms 40:2, 5, 7-8, 8-9, 10",,, Mark 1:29-39,2018-01-10,Wednesday of the First Week in Ordinary Time
1 Samuel 4:1-11,"Psalms 44:10-11, 14-15, 24-25",,Matthew 4:23,Mark 1:40-45,2018-01-11,Thursday of the First Week in Ordinary Time
"1 Samuel 8:4-7, 10-22","Psalms 89:16-17, 18-19",,Luke 7:16,Mark 2:1-12,2018-01-12,Friday of the First Week in Ordinary Time
"1 Samuel 9:1-4, 17-19; 10:1","Psalms 21:2-3, 4-5, 6-7",,Luke 4:18,Mark 2:13-17,2018-01-13,Saturday of the First Week in Ordinary Time
"1 Samuel 3:3-10, 19","Psalms 40:2, 4, 7-8, 8-9, 10 ",,"John 1:41, 17",John 1:35-42,2018-01-14,Second Sunday of Ordinary Time
1 Samuel 15:16-23,"Psalms 50:8-9, 16-17, 21, 23",,Hebrews 4:12,Mark 2:18-22,2018-01-15,Monday of the Second Week in Ordinary Time
1 Samuel 16:1-13,"Psalms 89:20, 21-22, 27-28",,Ephesians 1:17-18,Mark 2:23-28,2018-01-16,Tuesday of the Second Week in Ordinary Time
"1 Samuel 17:32-33, 37, 40-51","Psalms 144:1, 2, 9-10",,Matthew 4:23,Mark 3:1-6,2018-01-17,"Memorial of Saint Anthony, Abbot"
1 Samuel 18:6-9; 19:1-7,"Psalms 56:2-3, 9-10, 10-11, 12-13",,2 Timothy 1:10,Mark 3:7-12,2018-01-18,Thursday of the Second Week in Ordinary Time
1 Samuel 24:3-21,"Psalms 57:2, 3-4, 6, 11",,2 Corinthians 5:19,Mark 3:13-19,2018-01-19,Friday of the Second Week in Ordinary Time
"2 Samuel 1:1-4, 11-12, 19, 23-27","Psalms 80:2-3, 5-7",,Acts 16:14,Mark 3:20-21,2018-01-20,Saturday of the Second Week in Ordinary Time
1 Corinthians 7:29-31,"Psalms 25:4-5, 6-7, 8-9",,Mark 1:15,Mark 1:14-20,2018-01-21,Third Sunday in Ordinary Time 
"2 Samuel 5:1-7, 10","Psalms 89:20, 21-22, 25-26",,2 Timothy 1:10,Mark 3:22-30,2018-01-22,Day of Prayer for the Legal Protection of Unborn Children
"2 Samuel 6:12-15, 17-19","Psalms 24:7, 8, 9, 10",,Matthew 11:25 ,Mark 3:31-35,2018-01-23,Tuesday of the Third Week in Ordinary Time
2 Samuel 7:4-17,"Psalms 89:4-5, 27-28, 29-30",,,Mark 4:1-20,2018-01-24,"Memorial of Saint Francis de Sales, Bishop and Doctor of the Church"
Acts 22:3-16,"Psalms 117:1, 2",,John 15:16,Mark 16:15-18,2018-01-25,"Feast of the Conversion of Saint Paul, Apostle "
2 Timothy 1:1-8,"Psalms 96:1-2, 2-3, 7-8, 10",,Matthew 11:25,mk 4:26-34,2018-01-26,"Memorial of Saints Timothy and Titus, bishops"
"2 Samuel 12:1-7, 10-17","Psalms 51:12-13, 14-15, 16-17",,John 3:16,Mark 4:35-41,2018-01-27,Saturday of the Third Week in Ordinary Time
Deuteronomy 18:15-20,"Psalms 95:1-2, 6-7, 7-9",1 Corinthians 7:32-35,Matthew 4:16,Mark 1:21-28,2018-01-28,Fourth Sunday in Ordinary Time
"2 Samuel 15:13-14, 30; 16:5-13","Psalms 3:2-3, 4-5, 6-7",,Luke 7:16,Mark 5:1-20,2018-01-29,Monday of the Fourth Week in Ordinary Time
"2 Samuel18:9-10, 14, 24-25, 30--19:3","Psalms 86:1-2, 3-4, 5-6",,Matthew 8:17,Mark 5:21-43,2018-01-30,Tuesday of the Fourth Week in Ordinary Time
"2 Samuel 24:2, 9-17","Psalms 32:1-2, 5, 6, 7",,John 10:27,Mark 6:1-6 ,2018-01-31,"Memorial of Saint John Bosco, Priest"
"1 Kings 2:1-4, 10-12","1 Chronicles 29:10, 11, 11-12, 12",,Mark 1:15,Mark 6:7-13,2018-02-01,Thursday of the Fourth Week in Ordinary Time
Malachi 3:1-4,"Psalms 24:7, 8, 9, 10",Hebrews 2:14-18,Luke 2:32,Luke 2:22-40,2018-02-02,Feast of the Presentation of the Lord
1 Kings 3:4-13,"Psalms 119:9, 10, 11, 12, 13, 14",,John 10:27,Mark 6:30-34,2018-02-03,Saturday of the Fourth Week in Ordinary Time
"Job 7:1-4, 6-7","Psalms 147:1-2, 3-4, 5-6","1 Corinthians 9:16-19, 22-23",Matthew 8:17,Mark 1:29-39,2018-02-04,Fifth Sunday in Ordinary Time
"1 Kings 8:1-7, 9-13","Psalms 132:6-7, 8-10",,Matthew 4:23,Mark 6:53-56,2018-02-05,"Memorial of Saint Agatha, Virgin and Martyr"
"1 Kings 8:22-23, 27-30",,,"Psalms 119:36, 29",Mark 7:1-13,2018-02-06,"Memorial of Saint Paul Miki and Companions, Martyrs"
1 Kings 10:1-10,"Psalms 37:5-6, 30-31, 39-40",,"John 17:17, 17",Mark 7:14-23,2018-02-07,Wednesday of the Fifth Week in Ordinary Time
1 Kings 11:4-13,"Psalms 106:3-4, 35-36, 37, 40",,James 1:21, Mark 7:24-30,2018-02-08,Thursday of the Fifth Week in Ordinary Time
1 Kings 11:29-32; 12:19,"Psalms 81:10-11, 12-13, 14-15",,Acts 16:14,Mark 7:31-37,2018-02-09,Friday of the Fifth Week in Ordinary Time
1 Kings 12:26-32; 13:33-34,"Psalms 106:6-7, 19-20, 21-22",,Matthew 4:4,Mark 8:1-10,2018-02-10,"Memorial of Saint Scholastica, Virgin"
"Leviticus  13:1-2, 44-46","Psalms 32:1-2, 5, 11",1 Corinthians 10:31--11:1,Luke 7:16,Mark 1:40-45,2018-02-11,Sixth Sunday in Ordinary Time 
James 1:1-11,"Psalms 119:67, 68, 71, 72, 75, 76",,John 14:6,Mark 8:11-13,2018-02-12,Monday of the Sixth Week in Ordinary Time
James 1:12-18,"Psalms 94:12-13, 14-15, 18-19",,John 14:23,Mark 8:14-21,2018-02-13,Tuesday of the Sixth Week in Ordinary Time
Joel 2:12-18,"Psalms 51:3-4, 5-6, 12-13, 14, 17",2 Corinthians 5:20--6:2,Psalms 95:8," Matthew 6:1-6, 16-18",2018-02-14,Ash Wednesday
Deuteronomy 30:15-20,"Psalms 1:1-2, 3, 4, 6",,Matthew 4:17 ,Luke 9:22-25,2018-02-15,Thursday after Ash Wednesday
Isaiah 58:1-9,"Psalms 51:3-4, 5-6, 18-19",,Amos 5:14,Matthew 9:14-15,2018-02-16,Friday after Ash Wednesday
Isaiah 58:9-14,"Psalms 86:1-2, 3-4, 5-6",,Ezra 33:11,Luke 5:27-32,2018-02-17,Saturday after Ash Wednesday
Genesis 9:8-15,"Psalms 25:4-5, 6-7, 8-9.",1 Peter 3:18-22,Matthew 4:4,Mark 1:12-15,2018-02-18,First Sunday of Lent
"Leviticus  19:1-2, 11-18","Psalms 19:8, 9, 10, 15",,2 Corinthians 6:2,Matthew 25:31-46,2018-02-19,Monday of the First Week of Lent
Isaiah 55:10-11,"Psalms 34:4-5, 6-7, 16-17, 18-19",,Matthew 4:4,Matthew 6:7-15,2018-02-20,Tuesday of the First Week of Lent
Jonah 3:1-10,"Psalms 51:3-4, 12-13, 18-19",,Joel 2:12-13,Luke 11:29-32,2018-02-21,Wednesday of the First Week in Lent
1 Peter 5:1-4,"Psalms 23:1-3, 4, 5, 6",,Matthew 16:18,Matthew 16:13-19,2018-02-22,"Feast of the Chair of Saint Peter, Apostle"
Ezra 18:21-28,"Psalms 130:1-2, 3-4, 5-7, 7-8",,Ezra 18:31,Matthew 5:20-26,2018-02-23,Friday of the First Week of Lent
Deuteronomy 26:16-19,"Psalms 119:1-2, 4-5, 7-8",,2 Corinthians 6:2,Matthew 5:43-48,2018-02-24,Saturday of the First Week of Lent
"Genesis 22:1-2, 9, 10-13, 15-18","Psalms 116:10, 15, 16-17, 18-19",Romans 8:31-34,Matthew 17:5,Mark 9:2-10,2018-02-25,Second Sunday of Lent
Daniel 9:4-10,"Psalms 79:8, 9, 11, 13",,"John 6:63, 68",Luke 6:36-38,2018-02-26,Monday of the Second Week in Lent
"Isaiah 1:10, 16-20","Psalms 50:8-9, 16-17, 21, 23",,Ezra 18:31,Matthew 23:1-12,2018-02-27,Tuesday of the Second Week of Lent
Jeremiah 18:18-20,"Psalms 31:5-6, 14, 15-16",,John 8:12,Matthew 20:17-28,2018-02-28,Wednesday of the Second Week of Lent
Jeremiah 17:5-10,"Psalms 1:1-2, 3, 4, 6",,Luke 8:15,Luke 16:19-31,2018-03-01,Thursday of the Second Week of Lent
"Micah 7:14-15, 18-20","Psalms 103:1-2, 3-4, 9-10, 11-12",,Luke 15:18,"Luke 15:1-3, 11-32",2018-03-03,Saturday of the Second Week of Lent
1 Corinthians 1:22-25,"Psalms 19:8, 9, 10, 11",Exodus 20:1-17,John 3:16,John 2:13-25,2018-03-04,Third Sunday of Lent 
2 Kings 5:1-15,"Psalms 42:2, 3; 43:3, 4",,"Psalms 130:5, 7",Luke 4:24-30,2018-03-05,Monday of the Third Week of Lent
"Daniel 3:25, 34-43","Psalms 25:4-5, 6, 7, 8-9",,Joel 2:12-13,Matthew 18:21-35,2018-03-06,Tuesday of the Third Week of Lent
"Deuteronomy 4:1, 5-9","Psalms 147:12-13, 15-16, 19-20",,"John 6:63, 68",Matthew 5:17-19,2018-03-07,Wednesday of the Third Week of Lent
Jeremiah 7:23-28,"Psalms 95:1-2, 6-7, 8-9",,Joel 2:12-13,Luke 11:14-23,2018-03-08,Thursday of the Third Week of Lent
Hosea 14:2-10,"Psalms 81:6-8, 8-9, 10-11, 14, 17",,Matthew 4:17,Mark 12:28-34,2018-03-09,Friday of the Third Week of Lent
Hosea 6:1-6,"Psalms 51:3-4, 18-19, 20-21",,Psalms 95:8,Luke 18:9-14,2018-03-10,Saturday of the Third Week of Lent
"2 Chronicles 36:14-16, 19-23","Psalms 137:1-2, 3, 4-5, 6",Ephesians 2:4-10,John 3:16,John 3:14-21,2018-03-11,Fourth Sunday of Lent
Isaiah 65:17-21,"Psalms 30:2, 4, 5-6, 11-12, 13",,Amos 5:14,John 4:43-54,2018-03-12,Monday of the Fourth Week of Lent
"Ezra 47:1-9, 12","Psalms 46:2-3, 5-6, 8-9",,"Psalms 51:12, 14",John 5:1-16,2018-03-13,Tuesday of the Fourth Week of Lent
Isaiah 49:8-15,"Psalms 145:8-9, 13-14, 17-18",,"John 11:25, 26",John 5:17-30,2018-03-14,Wednesday of the Fourth Week of Lent
Exodus 32:7-14,"Psalms 106:19-20, 21-22, 23",,John 3:16,John 5:31-47,2018-03-15,Thursday of the Fourth Week of Lent
"Wisdom 2:1, 12-22","Psalms 34:17-18, 19-20, 21, 23",,Matthew 4:4,"John 7:1-2, 10, 25-30",2018-03-16,Friday of the Fourth Week of Lent
Jeremiah 11:18-20,"Psalms 7:2-3, 9-10, 11-12",,Luke 8:15,John 7:40-53,2018-03-17,Saturday of the Fourth Week of Lent
Jeremiah 31:31-34,"Psalms 51:3-4, 12-13, 14-15",Hebrews 5:7-9,John 12:26,John 12:20-33,2018-03-18,Fifth Sunday of Lent 
"2 Samuel 7:4-5, 12-14, 16","Psalms 89:2-3, 4-5, 27, 29","Romans 4:13, 16-18, 22",Psalms 84:5,"Matthew 1:16, 18-21, 24",2018-03-19,"Solemnity of Saint Joseph, spouse of the Blessed Virgin Mary"
Numbers 21:4-9,"Psalms 102:2-3, 16-18, 19-21",,,John 8:21-30,2018-03-20,Tuesday of the Fifth Week of Lent
"Daniel 3:14-20, 91-92, 95","Daniel 3:52, 53, 54, 55, 56",,Luke 8:15,John 8:31-42,2018-03-21,Wednesday of the Fifth Week of Lent
Genesis 17:3-9,"Psalms 105:4-5, 6-7, 8-9",,Psalms 95:8,John 8:51-59,2018-03-22,Thursday of the Fifth Week of Lent
Jeremiah 20:10-13,"Psalms 18:2-3, 3-4, 5-6, 7",,"John 6:63, 68",John 10:31-42,2018-03-23,Friday of the Fifth Week of Lent
Ezra 37:21-28,"Jeremiah 31:10, 11-12, 13",,Ezra 18:31,John 11:45-56,2018-03-24,Saturday of the Fifth Week of Lent
Isaiah 50:4-7,"Psalms 22:8-9, 17-18, 19-20, 23-24.",Philippians 2:6-11,Philippians 2:8-9,Mark 14:1--15:47 ,2018-03-25,Palm Sunday of the Lord's Passion
Isaiah 42:1-7,"Psalms 27:1, 2, 3, 13-14",,,John 12:1-11,2018-03-26,Monday of Holy Week
Isaiah 49:1-6,"Psalms 71:1-2, 3-4, 5-6, 15, 17",,,"John 13:21-33, 36-38",2018-03-27,Tuesday of Holy Week
Isaiah 50:4-9,"Psalms 69:8-10, 21-22, 31, 33-34",,,Matthew 26:14-25,2018-03-28,Wednesday of Holy Week
"Exodus 12:1-8, 11-14","Psalms 116:12-13, 15-16, 17-18",1 Corinthians 11:23-26,John 13:34,John 13:1-15,2018-03-29,Holy Thursday
Isaiah 52:13--53:12,"Psalms 31:2, 6, 12-13, 15-16, 17, 25 ",Hebrews 4:14-16; 5:7-9,Philippians 2:8-9,John 18:1--19:42,2018-03-30,Good Friday of the Lord's Passion 
Genesis 1:1–2:2,"Psalms 16:5, 8, 9-10, 11",Genesis 22:1-18,,Mark 16:1-7,2018-03-31,Easter Sunday - The Resurrection of the Lord -At the Easter Vigil in the Holy Night of Easter
"Acts 10:34, 37-43","Psalms 118:1-2, 16-17, 22-23.",Colossians 3:1-4,1 Corinthians 5:7-8,John 20:1-9,2018-04-01,Easter Sunday - The Resurrection of the Lord - The Mass of Easter Day
"Acts 2:14, 22-33","Psalms 16:1-2, 5, 7-8, 9-10, 11",,,Matthew 28:8-15,2018-04-02,Monday in the Octave of Easter
Acts 2:36-41,"Psalms 33:4-5, 18-19, 20, 22",,Psalms 118:24,John 20:11-18,2018-04-03,Tuesday in the Octave of Easter
Acts 3:1-10,"Psalms 105:1-2, 3-4, 6-7, 8-9",,Psalms 118:24,Luke 24:13-35,2018-04-04,Wednesday in the Octave of Easter
Acts 3:11-26,"Psalms 8:2, 5, 6-7, 8-9",,Psalms 118:24,Luke 24:35-48,2018-04-05,Thursday in the Octave of Easter
Acts 4:1-12,"Psalms 118:1-2, 4, 22-24, 25-27",,Psalms 118:24,John 21:1-14,2018-04-06,Friday in the Octave of Easter
Acts 4:13-21,"Psalms 118:1, 14-15, 16-18, 19-21",,Psalms 118:24,Mark 16:9-15,2018-04-07,Saturday in the Octave of Easter
 Acts 4:32-35,"Psalms 118:2-4, 13-15, 22-24",1 John 5:1-6,John 20:29,John 20:19-31,2018-04-08,Second Sunday of Easter
Isaiah 7:10-14; 8:10,"Psalms 40:7-8, 8-9, 10, 11",Hebrews 10:4-10,John 1:14,Luke 1:26-38,2018-04-09,Solemnity of the Annunciation of the Lord
Acts 4:32-37,"Psalms 93:1, 1-2, 5",, John 3:14-15,John 3:7-15,2018-04-10,Tuesday of the Second Week of Easter
Acts 5:17-26,"Psalms 34:2-3, 4-5, 6-7, 8-9",,John 3:16,John 3:16-21,2018-04-11,"Memorial of Saint Stanislaus, Bishop and Martyr"
Acts 5:27-33,"Psalms 34:2, 9, 17-18, 19-20",,John 20:29,John 3:31-36,2018-04-12,Thursday of the Second Week of Easter
Acts 5:34-42,"Psalms 27:1, 4, 13-14",,Matthew 4:4,John 6:1-15,2018-04-13,Friday of the Second Week of Easter
Acts 6:1-7,"Psalms 33:1-2, 4-5, 18-19",,,John 6:16-21,2018-04-14,Saturday of the Second Week of Easter
"Acts 3:13-15, 17-19","Psalms 4:2, 4, 7-8, 9",1 John 2:1-5,Luke 24:32,Luke 24:35-48,2018-04-15,Third Sunday of Easter
Acts 6:8-15,"Psalms 119:23-24, 26-27, 29-30",,Matthew 4:4,John 6:22-29,2018-04-16,Monday of the Third Week of Easter
Acts 7:51--8:1,"Psalms 31:3-4, 6, 7, 8, 17, 21",,John 6:35,John 6:30-35,2018-04-17,Tuesday of the Third Week of Easter
Acts 8:1-8,"Psalms 66:1-3, 4-5, 6-7",,John 6:40,John 6:35-40,2018-04-18,Wednesday of the Third Week of Easter
Acts 8:26-40,"Psalms 66:8-9, 16-17, 20",,John 6:51,John 6:44-51,2018-04-19,Thursday of the Third Week of Easter
Acts 9:1-20,"Psalms 117:1, 2",,John 6:56,John 6:52-59,2018-04-20,Friday of the Third Week of Easter
Acts 9:31-42,"Psalms 116:12-13, 14-15, 16-17",,"John 6:63, 68",John 6:60-69,2018-04-21,Saturday of the Third Week of Easter
Acts 4:8-12,"Psalms 118:1, 8-9, 21-23, 26, 28, 29",1 John 3:1-2,John 10:14,John 10:11-18,2018-04-22,Fourth Sunday of Easter
Acts 11:1-18,"Psalms 42:2-3; 43:3, 4",,John 10:14,John 10:1-10,2018-04-23,Monday of the Fourth Week of Easter
Acts 11:19-26,"Psalms 87:1-3, 4-5, 6-7",,,John 10:22-30,2018-04-24,Tuesday of the Fourth Week of Easter
1 Peter 5:5-14,"Psalms 89:2-3, 6-7, 16-17",,1 Corinthians 1:23-24,Mark 16:15-20,2018-04-25,"Feast of Saint Mark, evangelist"
Acts 13:13-25,"Psalms 89:2-3, 21-22, 25, 27",,Revelation 1:5,John 13:16-20,2018-04-26,Thursday of the Fourth Week of Easter
Acts 13:26-33,"Psalms 2:6-7, 8-9, 10-11",,John 14:6,John 14:1-6,2018-04-27,Friday of the Fourth Week of Easter
Acts 13:44-52,"Psalms 98:1, 2-3, 3-4",,John 8:31-32,John 14:7-14,2018-04-28,Saturday of the Fourth Week of Easter
Acts 9:26-31,"Psalms 22:26-27, 28, 30, 31-32",1 John 3:18-24,"John 15:4, 5",John 15:1-8,2018-04-29,Fifth Sunday of Easter
Acts 14:5-18,"Psalms 115:1-2, 3-4, 15-16",,John 14:26,John 14:21-26,2018-04-30,Monday of the Fifth Week of Easter
Acts 14:19-28,"Psalms 145:10-11, 12-13, 21",,"Luke 24:46, 26",John 14:27-31,2018-05-01,Tuesday of Fifth Week of Easter
Acts 15:1-6,"Psalms 122:1-2, 3-4, 4-5",,"John 15:4, 5",John 15:1-8,2018-05-02,"Memorial of Saint Athanasius, Bishop and Doctor of the Church"
1 Corinthians 15:1-8,"Psalms 19:2-3, 4-5",,"John 14:6, 9",John 14:6-14,2018-05-03,"Feast of Saints Philip and James, Apostles"
Acts 15:22-31,"Psalms 57:8-9, 10, 12",,John 15:15,John 15:12-17,2018-05-04,Friday of the Fifth Week of Easter
Acts 16:1-10,"Psalms 100:1-2, 3, 5",,Colossians 3:1,John 15:18-21,2018-05-05,Saturday of the Fifth Week of Easter
"Acts 10:25-26, 34-35, 44-48","Psalms 98:1, 2-3, 3-4",1 John 4:7-10,John 14:23,John 15:9-17,2018-05-06,Sixth Sunday of Easter
